# cmip6: multi-model-median regional means at warming levels - Rx5day
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +4.0°C
# index: Rx5day
# variable: pr
# units: %
abbrevs,region,names,pr,pr,pr
global,-4,Global,5.24,7.45,18.94
ocean,-3,Ocean,4.77,6.74,17.92
land,-2,Land,6.13,8.54,20.76
land_wo_antarctica,-1,Land w/o Antarctica,6.07,8.42,20.52
GIC,0,Greenland/Iceland,11.38,15.12,34.24
NWN,1,N.W.North-America,7.87,11.44,24.67
NEN,2,N.E.North-America,8.83,11.51,22.9
WNA,3,W.North-America,5.08,6.24,11.99
CNA,4,C.North-America,5.04,7.74,14.33
ENA,5,E.North-America,6.06,8.47,18.41
NCA,6,N.Central-America,3.3,4.34,10.77
SCA,7,S.Central-America,0.23,1.02,1.72
CAR,8,Caribbean,0.21,-0.18,-1.94
NWS,9,N.W.South-America,5.65,7.47,17.66
NSA,10,N.South-America,3.91,5.48,11.1
NES,11,N.E.South-America,6.19,8.32,20.24
SAM,12,South-American-Monsoon,4.56,7.04,11.26
SWS,13,S.W.South-America,-0.96,-0.24,-1.75
SES,14,S.E.South-America,6.75,9.53,21.74
SSA,15,S.South-America,2.71,3.92,8.37
NEU,16,N.Europe,7.44,9.42,18.64
WCE,17,West&Central-Europe,6.26,8.05,15.3
EEU,18,E.Europe,6.2,8.1,16.22
MED,19,Mediterranean,1.02,1.36,2.24
SAH,20,Sahara,17.35,21.19,42.94
WAF,21,Western-Africa,13.91,16.2,31.56
CAF,22,Central-Africa,11.01,14.67,33.88
NEAF,23,N.Eastern-Africa,9.63,14.11,35.71
SEAF,24,S.Eastern-Africa,7.35,9.84,29.05
WSAF,25,W.Southern-Africa,2.33,3.13,4.53
ESAF,26,E.Southern-Africa,4.4,6.25,16.42
MDG,27,Madagascar,4.93,5.46,15.03
RAR,28,Russian-Arctic,10.02,14.39,29.14
WSB,29,W.Siberia,7.18,9.21,16.93
ESB,30,E.Siberia,6.32,9.03,21.07
RFE,31,Russian-Far-East,8.74,12.76,28.94
WCA,32,W.C.Asia,7.42,9.6,20.98
ECA,33,E.C.Asia,8.48,11.5,26.81
TIB,34,Tibetan-Plateau,5.78,9.01,26.12
EAS,35,E.Asia,4.08,6.38,22.49
ARP,36,Arabian-Peninsula,10.86,16.94,45.56
SAS,37,S.Asia,8.55,13.32,34.05
SEA,38,S.E.Asia,4.56,7.44,23.12
NAU,39,N.Australia,5.98,7.14,21.51
CAU,40,C.Australia,4.55,5.5,11.15
EAU,41,E.Australia,2.48,3.81,10.23
SAU,42,S.Australia,3.04,2.8,8.64
NZ,43,New-Zealand,5.85,8.08,18.04
EAN,44,E.Antarctica,10.74,14.5,34.17
WAN,45,W.Antarctica,7.75,10.22,21.85
