# cmip6: multi-model-median regional means at warming levels - SM_top
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +4.0°C
# index: SM_top
# variable: mrsos
# units: σ
abbrevs,region,names,1.5,2.0,4.0
global,-4,Global,,,
ocean,-3,Ocean,,,
land,-2,Land,,,
land_wo_antarctica,-1,Land w/o Antarctica,-1.4,-2.38,-6.72
GIC,0,Greenland/Iceland,-0.92,-1.12,-3.14
NWN,1,N.W.North-America,-0.0,-0.01,-0.93
NEN,2,N.E.North-America,-0.45,-0.63,-2.14
WNA,3,W.North-America,-0.7,-0.97,-1.66
CNA,4,C.North-America,-0.59,-0.83,-1.5
ENA,5,E.North-America,-0.78,-1.14,-2.64
NCA,6,N.Central-America,-0.62,-0.76,-1.2
SCA,7,S.Central-America,-1.04,-1.36,-3.43
CAR,8,Caribbean,-0.54,-0.66,-1.44
NWS,9,N.W.South-America,-0.95,-1.23,-3.22
NSA,10,N.South-America,-1.06,-1.44,-2.92
NES,11,N.E.South-America,-1.01,-1.25,-2.59
SAM,12,South-American-Monsoon,-1.58,-1.92,-3.36
SWS,13,S.W.South-America,-1.53,-1.87,-2.89
SES,14,S.E.South-America,-0.39,-0.37,-0.96
SSA,15,S.South-America,-1.25,-1.32,-2.46
NEU,16,N.Europe,-0.88,-1.39,-3.79
WCE,17,West&Central-Europe,-0.81,-1.23,-1.97
EEU,18,E.Europe,-0.48,-0.77,-1.59
MED,19,Mediterranean,-1.45,-2.03,-3.62
SAH,20,Sahara,0.7,0.69,1.35
WAF,21,Western-Africa,1.33,1.24,1.54
CAF,22,Central-Africa,0.92,1.11,1.52
NEAF,23,N.Eastern-Africa,0.56,0.74,2.22
SEAF,24,S.Eastern-Africa,0.17,0.29,0.62
WSAF,25,W.Southern-Africa,-0.93,-1.16,-2.08
ESAF,26,E.Southern-Africa,-0.86,-1.11,-2.41
MDG,27,Madagascar,-0.51,-0.82,-1.68
RAR,28,Russian-Arctic,0.44,0.37,-1.21
WSB,29,W.Siberia,0.21,0.08,-0.06
ESB,30,E.Siberia,0.62,0.65,1.06
RFE,31,Russian-Far-East,-0.07,-0.39,-1.51
WCA,32,W.C.Asia,-0.21,-0.38,-0.55
ECA,33,E.C.Asia,0.66,0.97,2.38
TIB,34,Tibetan-Plateau,0.15,0.25,-0.0
EAS,35,E.Asia,-0.43,-0.49,-0.81
ARP,36,Arabian-Peninsula,0.2,0.25,0.64
SAS,37,S.Asia,0.71,0.8,1.41
SEA,38,S.E.Asia,-0.51,-0.34,-1.12
NAU,39,N.Australia,-0.14,-0.14,-0.24
CAU,40,C.Australia,-0.16,-0.21,-0.54
EAU,41,E.Australia,-0.42,-0.41,-0.67
SAU,42,S.Australia,-0.57,-0.62,-0.98
NZ,43,New-Zealand,-0.37,-0.39,-0.37
EAN,44,E.Antarctica,,,
WAN,45,W.Antarctica,,,
