# cmip6: multi-model-median regional means at warming levels - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
abbrevs,region,names,1.5,2.0,3.0,4.0
global,-4,Global,1.4,1.9,2.88,3.93
ocean,-3,Ocean,1.22,1.64,2.5,3.4
land,-2,Land,1.88,2.55,3.86,5.25
land_wo_antarctica,-1,Land w/o Antarctica,1.94,2.65,3.99,5.47
GIC,0,Greenland/Iceland,1.21,1.54,2.29,2.97
NWN,1,N.W.North-America,1.93,2.55,3.92,5.23
NEN,2,N.E.North-America,2.22,2.99,4.46,5.96
WNA,3,W.North-America,2.24,3.01,4.56,5.95
CNA,4,C.North-America,2.33,3.12,4.52,5.71
ENA,5,E.North-America,1.97,2.72,4.24,5.68
NCA,6,N.Central-America,1.81,2.45,3.59,4.84
SCA,7,S.Central-America,1.77,2.32,3.56,4.76
CAR,8,Caribbean,1.59,2.11,3.16,4.33
NWS,9,N.W.South-America,1.87,2.52,3.84,5.41
NSA,10,N.South-America,2.24,2.98,4.59,6.35
NES,11,N.E.South-America,2.04,2.69,4.07,5.39
SAM,12,South-American-Monsoon,2.58,3.44,5.23,7.33
SWS,13,S.W.South-America,1.91,2.5,3.74,4.83
SES,14,S.E.South-America,1.95,2.57,3.94,5.45
SSA,15,S.South-America,1.91,2.41,3.48,4.52
NEU,16,N.Europe,1.81,2.54,3.72,4.99
WCE,17,West&Central-Europe,2.33,3.2,4.69,6.23
EEU,18,E.Europe,2.2,2.97,4.66,5.76
MED,19,Mediterranean,2.5,3.3,4.97,6.61
SAH,20,Sahara,2.39,3.09,4.58,6.03
WAF,21,Western-Africa,1.62,2.19,3.43,4.53
CAF,22,Central-Africa,1.56,2.12,3.39,4.67
NEAF,23,N.Eastern-Africa,1.66,2.24,3.48,4.45
SEAF,24,S.Eastern-Africa,1.59,2.08,3.09,4.24
WSAF,25,W.Southern-Africa,2.03,2.73,4.04,5.29
ESAF,26,E.Southern-Africa,1.93,2.66,4.0,5.45
MDG,27,Madagascar,1.63,2.17,3.31,4.65
RAR,28,Russian-Arctic,1.99,2.77,4.22,5.52
WSB,29,W.Siberia,2.11,2.8,4.1,5.09
ESB,30,E.Siberia,2.09,2.87,4.54,5.97
RFE,31,Russian-Far-East,1.93,2.69,4.01,5.45
WCA,32,W.C.Asia,2.34,3.08,4.55,6.09
ECA,33,E.C.Asia,2.17,2.92,4.21,5.7
TIB,34,Tibetan-Plateau,1.65,2.32,3.51,4.55
EAS,35,E.Asia,1.5,2.19,3.38,4.66
ARP,36,Arabian-Peninsula,2.29,3.06,4.57,5.99
SAS,37,S.Asia,1.2,1.81,2.96,4.12
SEA,38,S.E.Asia,1.4,1.85,2.95,4.23
NAU,39,N.Australia,1.59,2.03,3.14,3.99
CAU,40,C.Australia,1.95,2.53,3.83,4.85
EAU,41,E.Australia,1.6,2.13,3.31,4.25
SAU,42,S.Australia,1.71,2.3,3.44,4.48
NZ,43,New-Zealand,1.36,1.82,2.68,3.68
EAN,44,E.Antarctica,1.18,1.65,2.53,3.22
WAN,45,W.Antarctica,0.62,0.84,1.42,1.81
