# cmip6: regional means at warming levels for individual models - CDD
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: CDD
# variable: pr
# units: day
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
0,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,pr,0.54,0.16,,
1,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,pr,0.59,0.66,0.63,
2,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,pr,0.89,1.06,1.19,1.28
3,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,pr,0.4,0.7,1.33,1.33
4,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,pr,0.81,0.69,,
5,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,pr,0.77,0.86,,
6,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,pr,0.96,1.26,1.75,
7,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,pr,0.87,1.01,1.64,2.47
8,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,pr,0.01,,,
9,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,pr,-0.24,0.09,,
10,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,pr,0.13,0.34,0.62,
11,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,pr,0.24,0.09,0.84,
12,-4,global,Global,CESM2,r1i1p1f1,ssp126,day,gn,pr,0.89,0.78,,
13,-4,global,Global,CESM2,r1i1p1f1,ssp245,day,gn,pr,0.91,0.97,0.57,
14,-4,global,Global,CESM2,r1i1p1f1,ssp370,day,gn,pr,1.18,1.57,1.11,1.33
15,-4,global,Global,CESM2,r1i1p1f1,ssp585,day,gn,pr,0.67,0.94,1.11,1.36
16,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp126,day,gn,pr,0.85,0.95,,
17,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp245,day,gn,pr,0.76,1.3,0.5,
18,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp370,day,gn,pr,1.45,0.97,1.58,1.52
19,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp585,day,gn,pr,0.88,0.94,1.57,2.03
20,-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,pr,-0.09,-0.11,,
21,-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,pr,0.44,0.27,-0.05,
22,-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,pr,0.74,0.79,0.55,0.16
23,-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,pr,0.74,0.7,0.65,0.99
24,-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,pr,1.29,1.86,,
25,-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,pr,1.56,2.58,2.91,
26,-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,pr,1.85,2.42,3.2,4.22
27,-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,pr,1.61,2.13,3.49,4.58
28,-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,pr,0.5,0.61,,
29,-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,pr,0.52,1.14,1.59,2.51
30,-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,pr,1.55,,,
31,-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,pr,1.57,,,
32,-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,pr,1.7,1.97,2.16,
33,-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp370,day,gr,pr,1.39,2.03,2.84,4.19
34,-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp585,day,gr,pr,1.59,2.51,2.89,4.25
35,-4,global,Global,CanESM5,r1i1p1f1,ssp119,day,gn,pr,1.36,0.86,,
36,-4,global,Global,CanESM5,r1i1p1f1,ssp126,day,gn,pr,1.41,1.12,,
37,-4,global,Global,CanESM5,r1i1p1f1,ssp245,day,gn,pr,1.41,1.14,1.0,0.58
38,-4,global,Global,CanESM5,r1i1p1f1,ssp370,day,gn,pr,1.39,1.15,1.43,1.3
39,-4,global,Global,CanESM5,r1i1p1f1,ssp585,day,gn,pr,1.43,0.9,0.81,0.92
40,-4,global,Global,EC-Earth3,r1i1p1f1,ssp126,day,gr,pr,0.92,0.86,,
41,-4,global,Global,EC-Earth3,r1i1p1f1,ssp245,day,gr,pr,1.06,1.0,1.58,
42,-4,global,Global,EC-Earth3,r1i1p1f1,ssp370,day,gr,pr,1.13,1.39,1.19,1.14
43,-4,global,Global,EC-Earth3,r1i1p1f1,ssp585,day,gr,pr,1.0,0.87,1.1,0.96
44,-4,global,Global,EC-Earth3-AerChem,r1i1p1f1,ssp370,day,gr,pr,0.75,1.43,1.85,1.62
45,-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp245,day,gr,pr,0.42,0.75,0.86,
46,-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp585,day,gr,pr,0.29,0.9,1.61,1.41
47,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp119,day,gr,pr,0.37,0.08,,
48,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp126,day,gr,pr,0.41,0.86,,
49,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp245,day,gr,pr,0.64,0.53,0.7,
50,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp370,day,gr,pr,0.46,0.35,0.59,0.61
51,-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp585,day,gr,pr,0.41,0.29,1.35,0.81
52,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,day,gr,pr,0.87,,,
53,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,day,gr,pr,0.84,,,
54,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,day,gr,pr,0.32,1.19,1.06,
55,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,1.03,1.34,1.88,2.37
56,-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,1.09,1.4,2.01,2.67
57,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,-0.24,-0.52,,
58,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,-0.34,-0.69,-1.0,
59,-4,global,Global,FGOALS-g3,r1i1p1f1,ssp585,day,gn,pr,-0.4,-0.5,-1.26,
