# cmip6: regional means at warming levels for individual models - Rx1day
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: Rx1day
# variable: pr
# units: %
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,pr,9.32,12.25,,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,pr,8.89,12.46,18.05,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,pr,8.96,11.62,17.96,25.03
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,pr,8.65,11.74,18.29,25.07
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,pr,7.02,8.57,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,pr,5.7,8.35,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,pr,6.74,9.01,13.81,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,pr,6.38,9.12,13.4,18.78
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,pr,8.97,,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,pr,9.34,11.56,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,pr,8.65,11.61,16.66,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,pr,8.3,11.55,16.17,
-4,global,Global,CESM2,r1i1p1f1,ssp126,day,gn,pr,10.24,13.77,,
-4,global,Global,CESM2,r1i1p1f1,ssp245,day,gn,pr,7.65,12.62,24.56,
-4,global,Global,CESM2,r1i1p1f1,ssp370,day,gn,pr,7.84,12.23,20.95,30.23
-4,global,Global,CESM2,r1i1p1f1,ssp585,day,gn,pr,8.63,12.73,22.31,32.47
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp126,day,gn,pr,8.42,12.48,,
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp245,day,gn,pr,8.16,12.17,20.41,
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp370,day,gn,pr,7.42,10.88,19.53,28.15
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp585,day,gn,pr,7.82,11.83,19.25,29.38
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,pr,9.61,12.04,,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,pr,8.69,12.41,20.79,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,pr,8.97,12.48,19.03,32.12
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,pr,8.74,12.14,19.49,29.38
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,pr,5.0,5.54,,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,pr,5.0,5.62,8.91,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,pr,5.36,6.34,9.23,11.62
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,pr,4.64,6.28,9.04,11.53
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,pr,3.95,5.31,,
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,pr,3.54,4.84,7.58,9.3
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,pr,5.27,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,pr,5.27,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,pr,5.27,6.77,8.51,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp370,day,gr,pr,5.04,6.42,9.74,11.16
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp585,day,gr,pr,5.35,7.04,9.25,11.95
-4,global,Global,CanESM5,r1i1p1f1,ssp119,day,gn,pr,9.49,10.87,,
-4,global,Global,CanESM5,r1i1p1f1,ssp126,day,gn,pr,8.72,11.02,,
-4,global,Global,CanESM5,r1i1p1f1,ssp245,day,gn,pr,8.94,11.24,16.33,21.87
-4,global,Global,CanESM5,r1i1p1f1,ssp370,day,gn,pr,9.41,11.39,17.27,22.67
-4,global,Global,CanESM5,r1i1p1f1,ssp585,day,gn,pr,9.19,11.05,17.29,22.43
-4,global,Global,EC-Earth3,r1i1p1f1,ssp126,day,gr,pr,7.06,10.09,,
-4,global,Global,EC-Earth3,r1i1p1f1,ssp245,day,gr,pr,8.22,10.22,17.14,
-4,global,Global,EC-Earth3,r1i1p1f1,ssp370,day,gr,pr,7.65,10.28,16.91,26.87
-4,global,Global,EC-Earth3,r1i1p1f1,ssp585,day,gr,pr,7.57,9.83,18.01,27.77
-4,global,Global,EC-Earth3-AerChem,r1i1p1f1,ssp370,day,gr,pr,8.8,12.8,19.82,28.86
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp119,day,gr,pr,6.25,9.49,,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp126,day,gr,pr,6.18,9.31,,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp245,day,gr,pr,6.66,9.69,15.95,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp370,day,gr,pr,6.52,10.35,15.73,22.79
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp585,day,gr,pr,6.24,8.85,16.46,24.89
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,day,gr,pr,8.49,,,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,day,gr,pr,7.82,,,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,day,gr,pr,8.44,10.89,16.95,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,7.93,10.84,17.05,24.02
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,8.43,10.8,17.45,25.23
-4,global,Global,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,5.52,7.15,,
-4,global,Global,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,5.44,6.77,10.07,
-4,global,Global,FGOALS-g3,r1i1p1f1,ssp585,day,gn,pr,5.62,6.39,10.27,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,day,gr1,pr,8.02,10.45,,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,day,gr1,pr,8.08,10.76,15.91,21.12
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,day,gr1,pr,7.03,9.66,,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,day,gr1,pr,6.8,7.88,13.39,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,day,gr1,pr,6.54,9.03,13.84,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp126,day,gn,pr,8.35,11.71,,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp245,day,gn,pr,7.9,11.1,16.94,
-4,global,Global,HadGEM3-GC31-LL,r1i1p1f3,ssp585,day,gn,pr,8.11,11.42,18.02,23.77
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp126,day,gn,pr,7.86,10.73,,
-4,global,Global,HadGEM3-GC31-MM,r1i1p1f3,ssp585,day,gn,pr,7.8,10.81,16.57,22.36
-4,global,Global,IITM-ESM,r1i1p1f1,ssp126,day,gn,pr,5.97,,,
-4,global,Global,IITM-ESM,r1i1p1f1,ssp245,day,gn,pr,5.81,7.56,,
-4,global,Global,IITM-ESM,r1i1p1f1,ssp585,day,gn,pr,5.34,8.38,12.04,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp126,day,gr1,pr,4.35,,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp245,day,gr1,pr,4.16,4.81,,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp370,day,gr1,pr,4.22,4.96,7.75,
-4,global,Global,INM-CM4-8,r1i1p1f1,ssp585,day,gr1,pr,4.34,5.28,7.79,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp126,day,gr1,pr,5.08,,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp245,day,gr1,pr,5.04,6.59,,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp370,day,gr1,pr,5.38,6.53,11.06,
-4,global,Global,INM-CM5-0,r1i1p1f1,ssp585,day,gr1,pr,4.47,7.12,11.03,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,day,gr,pr,11.26,13.74,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,day,gr,pr,10.61,14.11,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,day,gr,pr,10.81,14.32,21.39,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,day,gr,pr,11.39,14.26,22.09,29.84
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,day,gr,pr,10.54,14.68,21.72,28.1
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp126,day,gr,pr,7.31,10.64,,
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp245,day,gr,pr,7.26,10.34,16.61,
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp370,day,gr,pr,7.46,10.41,16.61,23.59
-4,global,Global,KACE-1-0-G,r1i1p1f1,ssp585,day,gr,pr,7.64,10.67,16.43,24.49
-4,global,Global,KIOST-ESM,r1i1p1f1,ssp126,day,gr1,pr,9.77,,,
-4,global,Global,KIOST-ESM,r1i1p1f1,ssp245,day,gr1,pr,10.03,13.56,,
-4,global,Global,KIOST-ESM,r1i1p1f1,ssp585,day,gr1,pr,10.08,14.65,20.71,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp126,day,gn,pr,6.19,,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp245,day,gn,pr,6.39,8.24,,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp370,day,gn,pr,5.55,7.26,11.7,
-4,global,Global,MIROC-ES2L,r1i1p1f2,ssp585,day,gn,pr,6.67,7.53,11.28,
-4,global,Global,MIROC6,r1i1p1f1,ssp126,day,gn,pr,6.24,,,
-4,global,Global,MIROC6,r1i1p1f1,ssp245,day,gn,pr,6.25,8.82,,
-4,global,Global,MIROC6,r1i1p1f1,ssp370,day,gn,pr,6.01,8.28,,
-4,global,Global,MIROC6,r1i1p1f1,ssp585,day,gn,pr,6.13,9.32,13.97,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp126,day,gn,pr,4.37,,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp245,day,gn,pr,4.25,6.23,,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp370,day,gn,pr,4.63,5.89,9.17,
-4,global,Global,MPI-ESM1-2-HR,r1i1p1f1,ssp585,day,gn,pr,4.94,6.7,10.56,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp126,day,gn,pr,4.9,,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp245,day,gn,pr,5.02,6.45,,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp370,day,gn,pr,5.19,7.56,9.96,
-4,global,Global,MPI-ESM1-2-LR,r1i1p1f1,ssp585,day,gn,pr,5.11,7.1,10.89,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp119,day,gn,pr,5.24,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp126,day,gn,pr,5.59,,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp245,day,gn,pr,5.15,7.46,,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp370,day,gn,pr,5.21,7.08,14.17,
-4,global,Global,MRI-ESM2-0,r1i1p1f1,ssp585,day,gn,pr,5.76,8.02,13.21,19.9
-4,global,Global,NESM3,r1i1p1f1,ssp126,day,gn,pr,4.88,7.99,,
-4,global,Global,NESM3,r1i1p1f1,ssp245,day,gn,pr,5.23,7.52,,
-4,global,Global,NESM3,r1i1p1f1,ssp585,day,gn,pr,4.83,7.13,11.81,16.11
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp245,day,gn,pr,6.96,9.72,,
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp370,day,gn,pr,6.47,8.18,,
-4,global,Global,NorESM2-LM,r1i1p1f1,ssp585,day,gn,pr,6.97,9.13,14.64,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp245,day,gn,pr,6.09,9.64,,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp370,day,gn,pr,6.42,8.73,14.11,
-4,global,Global,NorESM2-MM,r1i1p1f1,ssp585,day,gn,pr,6.91,9.68,15.33,
-4,global,Global,TaiESM1,r1i1p1f1,ssp585,day,gn,pr,7.92,13.74,24.14,36.01
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp119,day,gn,pr,8.28,11.44,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp126,day,gn,pr,7.91,11.35,,
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp245,day,gn,pr,7.73,10.66,17.22,23.26
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp370,day,gn,pr,7.89,10.67,16.89,23.7
-4,global,Global,UKESM1-0-LL,r1i1p1f2,ssp585,day,gn,pr,8.2,10.47,16.45,24.43
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,pr,9.06,11.95,,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,pr,8.16,11.84,17.4,
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,pr,8.59,11.15,17.15,24.36
-3,ocean,Ocean,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,pr,8.02,11.06,18.04,24.65
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,pr,6.83,7.86,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,pr,4.76,7.58,,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,pr,6.25,8.65,13.42,
-3,ocean,Ocean,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,pr,5.75,8.43,12.76,18.63
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,pr,8.88,,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,pr,9.18,10.96,,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,pr,8.31,11.11,15.57,
-3,ocean,Ocean,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,pr,7.81,10.91,15.07,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp126,day,gn,pr,11.14,14.67,,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp245,day,gn,pr,8.1,13.55,26.45,
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp370,day,gn,pr,8.3,12.96,22.11,32.32
-3,ocean,Ocean,CESM2,r1i1p1f1,ssp585,day,gn,pr,9.03,13.18,23.31,34.32
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp126,day,gn,pr,8.66,13.04,,
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp245,day,gn,pr,8.93,13.05,21.42,
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp370,day,gn,pr,7.89,11.44,20.85,30.12
-3,ocean,Ocean,CESM2-WACCM,r1i1p1f1,ssp585,day,gn,pr,8.35,12.46,19.99,31.18
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,pr,9.64,12.19,,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,pr,8.77,12.47,20.89,
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,pr,9.26,12.9,19.12,32.74
-3,ocean,Ocean,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,pr,8.92,12.15,19.54,29.98
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,pr,4.12,4.6,,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,pr,4.06,4.69,7.55,
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,pr,4.54,5.25,7.56,9.15
-3,ocean,Ocean,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,pr,3.87,4.94,7.35,9.27
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,pr,3.05,4.16,,
-3,ocean,Ocean,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,pr,2.49,3.65,5.48,6.74
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,pr,4.52,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,pr,4.24,,,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,pr,4.23,5.56,6.81,
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp370,day,gr,pr,3.79,4.95,7.63,8.36
-3,ocean,Ocean,CNRM-ESM2-1,r1i1p1f2,ssp585,day,gr,pr,4.1,5.75,7.13,9.36
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp119,day,gn,pr,9.08,10.11,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp126,day,gn,pr,8.14,10.63,,
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp245,day,gn,pr,8.39,10.84,15.06,20.63
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp370,day,gn,pr,8.81,10.19,15.85,20.73
-3,ocean,Ocean,CanESM5,r1i1p1f1,ssp585,day,gn,pr,8.6,9.67,15.58,20.34
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp126,day,gr,pr,6.13,9.11,,
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp245,day,gr,pr,7.6,9.01,15.58,
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp370,day,gr,pr,6.98,9.37,14.96,24.02
-3,ocean,Ocean,EC-Earth3,r1i1p1f1,ssp585,day,gr,pr,6.75,8.65,15.67,24.42
-3,ocean,Ocean,EC-Earth3-AerChem,r1i1p1f1,ssp370,day,gr,pr,8.81,12.96,19.1,27.16
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp119,day,gr,pr,5.25,8.29,,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp126,day,gr,pr,5.19,8.11,,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp245,day,gr,pr,5.8,8.56,14.12,
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp370,day,gr,pr,5.56,9.34,13.74,19.43
-3,ocean,Ocean,EC-Earth3-Veg,r1i1p1f1,ssp585,day,gr,pr,5.24,7.56,14.45,21.59
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,day,gr,pr,7.99,,,
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,day,gr,pr,7.17,,,
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,day,gr,pr,7.72,10.23,15.43,
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,day,gr,pr,7.29,10.0,15.73,21.74
-3,ocean,Ocean,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,day,gr,pr,7.71,9.84,15.79,22.57
-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp245,day,gn,pr,5.05,6.35,,
-3,ocean,Ocean,FGOALS-g3,r1i1p1f1,ssp370,day,gn,pr,4.85,5.68,8.57,
