# cmip6: regional means at warming levels for individual models - Rx5day
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: Rx5day
# variable: pr
# units: %
,region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
0,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,pr,7.4,10.09,,
1,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,pr,7.09,10.0,14.67,
2,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,pr,6.98,9.17,13.96,20.19
3,-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,pr,6.72,9.17,14.75,20.54
4,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,pr,5.78,7.12,,
5,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,pr,4.58,6.82,,
6,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,pr,5.32,7.11,11.08,
7,-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,pr,5.24,7.3,10.81,15.02
8,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,pr,6.69,,,
9,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,pr,7.01,8.62,,
10,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,pr,6.58,8.73,12.52,
11,-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,pr,5.91,8.59,11.96,
12,-4,global,Global,CESM2,r1i1p1f1,ssp126,day,gn,pr,7.3,10.48,,
13,-4,global,Global,CESM2,r1i1p1f1,ssp245,day,gn,pr,5.25,9.5,18.24,
14,-4,global,Global,CESM2,r1i1p1f1,ssp370,day,gn,pr,5.75,9.11,15.4,22.16
15,-4,global,Global,CESM2,r1i1p1f1,ssp585,day,gn,pr,6.26,9.05,16.59,24.24
16,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp126,day,gn,pr,6.6,9.79,,
17,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp245,day,gn,pr,6.35,9.7,16.06,
18,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp370,day,gn,pr,5.43,7.41,14.83,21.39
19,-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp585,day,gn,pr,5.83,8.82,14.64,22.26
20,-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,pr,6.62,8.36,,
21,-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,pr,5.89,8.41,14.06,
