# cmip6: regional means at warming levels for individual models - SM_top
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_top
# variable: mrsos
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.55,-3.12,,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,Lmon,gn,mrsos,-0.89,-2.15,-5.33,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.28,-2.79,-4.89,-6.9
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.45,-3.11,-5.67,-7.62
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,Lmon,gn,mrsos,-2.99,-4.04,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,Lmon,gn,mrsos,-2.33,-3.87,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,Lmon,gn,mrsos,-2.47,-3.43,-5.87,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,Lmon,gn,mrsos,-2.71,-3.85,-5.8,-8.8
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,Lmon,gn,mrsos,-3.9,,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,Lmon,gn,mrsos,-3.14,-4.36,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,Lmon,gn,mrsos,-3.87,-4.6,-6.54,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,Lmon,gn,mrsos,-3.38,-4.06,-6.02,
-4,global,Global,CESM2,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.45,-3.53,,
-4,global,Global,CESM2,r1i1p1f1,ssp245,Lmon,gn,mrsos,-2.64,-3.92,-6.54,
-4,global,Global,CESM2,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.92,-3.06,-5.41,-8.39
-4,global,Global,CESM2,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.61,-3.24,-6.37,-9.33
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.68,-3.53,,
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.63,-2.89,-5.9,
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp370,Lmon,gn,mrsos,-1.61,-2.81,-5.79,-7.59
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp585,Lmon,gn,mrsos,-1.59,-2.51,-5.31,-8.67
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,Lmon,gn,mrsos,-4.22,-5.61,,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp245,Lmon,gn,mrsos,-4.61,-5.79,-7.65,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp370,Lmon,gn,mrsos,-4.57,-5.32,-7.24,-8.53
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp585,Lmon,gn,mrsos,-4.67,-5.59,-7.17,-8.85
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp126,Lmon,gr,mrsos,-2.03,-3.31,,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp245,Lmon,gr,mrsos,-1.47,-2.98,-4.6,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp370,Lmon,gr,mrsos,-0.9,-2.18,-4.01,-4.76
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp585,Lmon,gr,mrsos,-1.85,-2.04,-3.68,-5.52
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp126,Lmon,gr,mrsos,-0.08,-0.77,,
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp245,Lmon,gr,mrsos,-0.63,-1.4,-2.49,
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp370,Lmon,gr,mrsos,-0.4,-1.05,-2.45,-3.43
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp585,Lmon,gr,mrsos,-0.25,-1.24,-2.49,-3.61
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp119,Lmon,gr,mrsos,-4.78,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp126,Lmon,gr,mrsos,-4.17,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp245,Lmon,gr,mrsos,-4.09,-5.43,-6.82,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp370,Lmon,gr,mrsos,-4.04,-4.99,-6.02,-7.65
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp585,Lmon,gr,mrsos,-4.11,-5.03,-6.51,-8.06
-4,global,Global,CanESM5,r1i1p1f1,ssp119,Lmon,gn,mrsos,-2.6,-3.31,,
-4,global,Global,CanESM5,r1i1p1f1,ssp126,Lmon,gn,mrsos,-2.56,-3.59,,
-4,global,Global,CanESM5,r1i1p1f1,ssp245,Lmon,gn,mrsos,-2.77,-4.19,-5.57,-6.91
-4,global,Global,CanESM5,r1i1p1f1,ssp370,Lmon,gn,mrsos,-2.73,-3.43,-5.45,-7.37
-4,global,Global,CanESM5,r1i1p1f1,ssp585,Lmon,gn,mrsos,-2.59,-3.24,-5.47,-7.1
-4,global,Global,CanESM5-CanOE,r1i1p2f1,ssp126,Lmon,gn,mrsos,-3.1,-3.67,,
-4,global,Global,CanESM5-CanOE,r1i1p2f1,ssp245,Lmon,gn,mrsos,-3.06,-3.6,-5.74,-7.14
-4,global,Global,CanESM5-CanOE,r1i1p2f1,ssp370,Lmon,gn,mrsos,-3.25,-3.98,-5.82,-7.75
-4,global,Global,CanESM5-CanOE,r1i1p2f1,ssp585,Lmon,gn,mrsos,-3.27,-4.14,-5.58,-7.51
-4,global,Global,E3SM-1-1,r1i1p1f1,ssp585,Lmon,gr,mrsos,-1.93,-4.34,-9.14,-11.42
-4,global,Global,EC-Earth3,r1i1p1f1,ssp126,Lmon,gr,mrsos,-0.62,-0.52,,
-4,global,Global,EC-Earth3,r1i1p1f1,ssp245,Lmon,gr,mrsos,-0.86,-0.06,-0.99,
-4,global,Global,EC-Earth3,r1i1p1f1,ssp370,Lmon,gr,mrsos,-1.07,-0.85,-0.54,-0.22
-4,global,Global,EC-Earth3,r1i1p1f1,ssp585,Lmon,gr,mrsos,0.09,-0.24,0.3,-0.17
-4,global,Global,EC-Earth3-AerChem,r1i1p1f1,ssp370,Lmon,gr,mrsos,-0.45,-0.46,-0.33,-0.88
-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp245,Lmon,gr,mrsos,-0.98,-1.12,-0.6,
-4,global,Global,EC-Earth3-CC,r1i1p1f1,ssp585,Lmon,gr,mrsos,-0.88,-0.22,-0.81,-0.93
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp119,Lmon,gr,mrsos,0.05,0.79,,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp126,Lmon,gr,mrsos,0.15,0.23,,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp245,Lmon,gr,mrsos,-0.04,0.54,0.2,
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp370,Lmon,gr,mrsos,0.17,0.52,0.6,0.6
-4,global,Global,EC-Earth3-Veg,r1i1p1f1,ssp585,Lmon,gr,mrsos,0.18,0.39,-0.07,0.52
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp119,Lmon,gr,mrsos,-0.69,,,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp126,Lmon,gr,mrsos,-0.39,,,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp245,Lmon,gr,mrsos,-0.84,-1.46,-0.92,
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp370,Lmon,gr,mrsos,-0.75,-0.71,-1.36,-0.74
-4,global,Global,EC-Earth3-Veg-LR,r1i1p1f1,ssp585,Lmon,gr,mrsos,-0.66,-0.67,-0.95,-0.94
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp126,Lmon,gn,mrsos,-1.31,-1.62,,
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp245,Lmon,gn,mrsos,-1.28,-1.84,,
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp370,Lmon,gn,mrsos,-0.95,-1.23,-2.19,
-4,global,Global,FGOALS-f3-L,r1i1p1f1,ssp585,Lmon,gn,mrsos,-0.79,-0.94,-2.35,-3.23
-4,global,Global,FIO-ESM-2-0,r1i1p1f1,ssp126,Lmon,gn,mrsos,-0.41,0.2,,
-4,global,Global,FIO-ESM-2-0,r1i1p1f1,ssp245,Lmon,gn,mrsos,-0.23,0.0,-0.62,
-4,global,Global,FIO-ESM-2-0,r1i1p1f1,ssp585,Lmon,gn,mrsos,-0.28,-0.24,-0.1,0.22
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp245,Lmon,gr1,mrsos,-2.97,-3.68,,
-4,global,Global,GFDL-CM4,r1i1p1f1,ssp585,Lmon,gr1,mrsos,-2.43,-3.37,-5.57,-7.02
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp245,Lmon,gr1,mrsos,0.19,-0.01,,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp370,Lmon,gr1,mrsos,0.3,-0.03,-1.44,
-4,global,Global,GFDL-ESM4,r1i1p1f1,ssp585,Lmon,gr1,mrsos,0.25,-0.99,-2.13,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp119,Lmon,gr,mrsos,-0.41,-0.55,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp126,Lmon,gr,mrsos,-0.68,-0.78,,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp245,Lmon,gr,mrsos,-0.56,-1.03,-1.86,
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp370,Lmon,gr,mrsos,-0.36,-0.95,-1.24,-2.87
-4,global,Global,IPSL-CM6A-LR,r1i1p1f1,ssp585,Lmon,gr,mrsos,-0.48,-0.58,-1.37,-2.36
