# cmip6: regional means at warming levels for individual models - SM_total
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_total
# variable: mrso
# units: σ
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,Lmon,gn,mrso,-1.27,-3.38,,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,Lmon,gn,mrso,-0.53,-1.77,-6.4,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,Lmon,gn,mrso,-1.24,-3.15,-5.91,-8.26
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,Lmon,gn,mrso,-1.07,-2.88,-6.39,-8.46
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,Lmon,gn,mrso,-4.53,-5.92,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,Lmon,gn,mrso,-3.43,-5.3,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,Lmon,gn,mrso,-4.3,-5.14,-7.25,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,Lmon,gn,mrso,-4.12,-5.24,-7.33,-10.82
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,Lmon,gn,mrso,-9.48,,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,Lmon,gn,mrso,-9.16,-11.06,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,Lmon,gn,mrso,-9.31,-10.69,-13.42,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,Lmon,gn,mrso,-9.0,-10.33,-12.52,
-4,global,Global,CESM2,r1i1p1f1,ssp126,Lmon,gn,mrso,1.29,1.38,,
-4,global,Global,CESM2,r1i1p1f1,ssp245,Lmon,gn,mrso,0.79,1.12,2.35,
-4,global,Global,CESM2,r1i1p1f1,ssp370,Lmon,gn,mrso,1.15,2.44,3.87,4.54
-4,global,Global,CESM2,r1i1p1f1,ssp585,Lmon,gn,mrso,1.94,1.69,3.53,4.28
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp126,Lmon,gn,mrso,1.41,1.22,,
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp245,Lmon,gn,mrso,1.42,1.77,2.9,
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp370,Lmon,gn,mrso,1.12,1.07,1.51,3.28
-4,global,Global,CESM2-WACCM,r1i1p1f1,ssp585,Lmon,gn,mrso,0.93,1.21,2.61,2.97
-4,global,Global,CIESM,r1i1p1f1,ssp245,Lmon,gr,mrso,-0.42,-1.0,-2.79,
-4,global,Global,CIESM,r1i1p1f1,ssp585,Lmon,gr,mrso,-0.39,-1.15,-2.19,-1.98
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,Lmon,gn,mrso,-1.33,-2.35,,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp245,Lmon,gn,mrso,-1.93,-2.92,-4.45,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp370,Lmon,gn,mrso,-2.16,-2.15,-3.43,-3.72
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp585,Lmon,gn,mrso,-3.28,-3.39,-3.18,-5.06
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp126,Lmon,gr,mrso,-3.09,-8.33,,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp245,Lmon,gr,mrso,-2.66,-6.77,-14.9,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp370,Lmon,gr,mrso,-2.51,-4.66,-10.75,-17.95
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp585,Lmon,gr,mrso,-2.88,-5.18,-9.61,-16.94
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp126,Lmon,gr,mrso,-0.14,-2.8,,
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp245,Lmon,gr,mrso,-1.25,-4.47,-14.35,
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp370,Lmon,gr,mrso,-1.09,-3.22,-11.47,-20.41
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp585,Lmon,gr,mrso,-0.93,-3.82,-11.03,-19.36
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp119,Lmon,gr,mrso,-19.24,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp126,Lmon,gr,mrso,-16.08,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp245,Lmon,gr,mrso,-18.34,-22.51,-30.87,
