# cmip6: regional means at warming levels for individual models - TNn
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TNn
# variable: tasmin
# units: °C
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,tasmin,1.98,2.67,,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,tasmin,1.96,2.58,3.85,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,tasmin,1.99,2.63,3.83,5.16
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,tasmin,1.96,2.53,3.84,5.15
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,tasmin,1.78,2.43,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,tasmin,1.82,2.43,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,tasmin,1.8,2.42,3.73,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,tasmin,1.77,2.42,3.68,4.99
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp126,day,gn,tasmin,2.13,2.76,,
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp245,day,gn,tasmin,2.11,2.77,,
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp370,day,gn,tasmin,2.11,2.75,4.12,
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp585,day,gn,tasmin,2.06,2.75,4.17,5.56
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,tasmin,2.13,,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,tasmin,2.07,2.65,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,tasmin,2.05,2.72,4.06,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,tasmin,2.12,2.76,4.05,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,tasmin,2.0,2.7,,
