# cmip6: regional means at warming levels for individual models - TXx
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: TXx
# variable: tasmax
# units: °C
region,abbrevs,names,model,ens,exp,table,grid,varn,1.5,2.0,3.0,4.0
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp126,day,gn,tasmax,1.38,1.9,,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp245,day,gn,tasmax,1.41,1.9,2.86,
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp370,day,gn,tasmax,1.4,1.87,2.86,3.92
-4,global,Global,ACCESS-CM2,r1i1p1f1,ssp585,day,gn,tasmax,1.41,1.91,2.91,3.95
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp126,day,gn,tasmax,1.36,1.83,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp245,day,gn,tasmax,1.33,1.82,,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp370,day,gn,tasmax,1.39,1.83,2.81,
-4,global,Global,ACCESS-ESM1-5,r1i1p1f1,ssp585,day,gn,tasmax,1.35,1.88,2.81,3.81
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp126,day,gn,tasmax,1.34,1.81,,
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp245,day,gn,tasmax,1.34,1.82,,
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp370,day,gn,tasmax,1.41,1.82,2.79,
-4,global,Global,AWI-CM-1-1-MR,r1i1p1f1,ssp585,day,gn,tasmax,1.38,1.81,2.81,3.84
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp126,day,gn,tasmax,1.39,,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp245,day,gn,tasmax,1.42,1.94,,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp370,day,gn,tasmax,1.44,1.91,2.96,
-4,global,Global,BCC-CSM2-MR,r1i1p1f1,ssp585,day,gn,tasmax,1.37,1.91,2.93,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp126,day,gn,tasmax,1.45,1.95,,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp245,day,gn,tasmax,1.47,1.94,2.93,
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp370,day,gn,tasmax,1.42,1.96,2.93,4.02
-4,global,Global,CMCC-CM2-SR5,r1i1p1f1,ssp585,day,gn,tasmax,1.45,1.98,2.94,3.99
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp126,day,gr,tasmax,1.44,1.92,,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp245,day,gr,tasmax,1.45,1.96,2.93,
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp370,day,gr,tasmax,1.48,1.96,2.93,3.89
-4,global,Global,CNRM-CM6-1,r1i1p1f2,ssp585,day,gr,tasmax,1.47,1.96,2.99,4.0
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp126,day,gr,tasmax,1.25,1.77,,
-4,global,Global,CNRM-CM6-1-HR,r1i1p1f2,ssp585,day,gr,tasmax,1.29,1.77,2.82,3.84
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp119,day,gr,tasmax,1.55,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp126,day,gr,tasmax,1.56,,,
-4,global,Global,CNRM-ESM2-1,r1i1p1f2,ssp245,day,gr,tasmax,1.53,2.08,2.94,
