# cmip6: multi-model-median regional means at warming levels - SM_total
# anomalies w.r.t. 1850-1900
# warming levels: +1.5°C, +2.0°C, +3.0°C, +4.0°C
# index: SM_total
# variable: mrso
# units: σ
abbrevs,region,names,1.5,2.0,3.0,4.0
global,-4,Global,,,,
ocean,-3,Ocean,,,,
land,-2,Land,,,,
land_wo_antarctica,-1,Land w/o Antarctica,-0.93,-1.63,-2.67,-3.53
GIC,0,Greenland/Iceland,-0.54,-0.5,-0.72,-2.04
NWN,1,N.W.North-America,-0.02,0.34,1.15,-2.72
NEN,2,N.E.North-America,-1.0,-0.77,-0.88,-2.21
WNA,3,W.North-America,-0.53,-0.72,-1.32,-1.63
CNA,4,C.North-America,-1.28,-1.14,-1.55,-1.59
ENA,5,E.North-America,-0.35,-0.32,-0.64,-0.76
NCA,6,N.Central-America,-0.94,-1.04,-1.68,-1.52
SCA,7,S.Central-America,-1.4,-1.4,-2.35,-3.42
CAR,8,Caribbean,-0.54,-0.69,-1.05,-1.22
NWS,9,N.W.South-America,-1.2,-1.33,-2.26,-3.5
NSA,10,N.South-America,-1.21,-1.66,-2.2,-3.05
NES,11,N.E.South-America,-0.38,-0.31,-0.31,-0.5
SAM,12,South-American-Monsoon,-1.34,-1.71,-2.52,-3.81
SWS,13,S.W.South-America,-2.33,-2.91,-4.06,-4.83
SES,14,S.E.South-America,0.16,0.32,0.39,-0.11
SSA,15,S.South-America,-1.22,-1.58,-2.08,-2.1
NEU,16,N.Europe,0.42,0.16,0.14,-0.28
WCE,17,West&Central-Europe,0.05,-0.11,-0.27,-0.72
EEU,18,E.Europe,0.55,0.38,0.55,0.59
MED,19,Mediterranean,-2.03,-2.75,-3.72,-4.18
SAH,20,Sahara,1.31,1.59,3.1,3.59
WAF,21,Western-Africa,2.14,2.44,3.44,2.68
CAF,22,Central-Africa,1.76,2.03,2.77,2.57
NEAF,23,N.Eastern-Africa,1.4,2.27,3.5,3.78
SEAF,24,S.Eastern-Africa,0.7,1.14,1.74,2.08
WSAF,25,W.Southern-Africa,-0.93,-1.21,-1.66,-2.54
ESAF,26,E.Southern-Africa,-0.66,-0.82,-1.26,-1.89
MDG,27,Madagascar,-0.09,-0.28,-0.6,-1.01
RAR,28,Russian-Arctic,0.8,0.88,0.97,-1.28
WSB,29,W.Siberia,1.22,1.24,1.44,1.43
ESB,30,E.Siberia,0.09,0.11,0.28,0.99
RFE,31,Russian-Far-East,-0.2,0.0,0.69,-0.04
WCA,32,W.C.Asia,0.04,0.25,0.07,0.15
ECA,33,E.C.Asia,0.13,0.29,0.78,1.27
TIB,34,Tibetan-Plateau,-0.16,-0.48,-0.09,-1.39
EAS,35,E.Asia,-0.3,-0.23,-0.03,-0.35
ARP,36,Arabian-Peninsula,0.47,0.74,1.81,3.12
SAS,37,S.Asia,1.03,1.33,1.71,2.26
SEA,38,S.E.Asia,-0.16,-0.07,-0.39,-0.72
NAU,39,N.Australia,-0.03,-0.03,-0.0,-0.2
CAU,40,C.Australia,-0.16,-0.21,-0.29,-0.46
EAU,41,E.Australia,-0.41,-0.46,-0.49,-0.68
SAU,42,S.Australia,-0.61,-0.96,-1.04,-1.14
NZ,43,New-Zealand,-0.23,-0.1,-0.13,-0.17
EAN,44,E.Antarctica,,,,
WAN,45,W.Antarctica,,,,
